FID IID population super_pop sex caffeine_consumption purple_hair
HG02629 HG02629 GWD AFR 1 4 1
HG02651 HG02651 PJL SAS 0 7 2
HG02682 HG02682 PJL SAS 1 6 2
HG02688 HG02688 PJL SAS 1 7 2
HG02690 HG02690 PJL SAS 0 6 2
HG02699 HG02699 PJL SAS 0 3 2
HG02760 HG02760 GWD AFR 1 4 2
HG02768 HG02768 GWD AFR 0 2 2
HG02771 HG02771 GWD AFR 0 2 1
HG02792 HG02792 PJL SAS 0 5 1
HG02798 HG02798 GWD AFR 0 6 1
HG02811 HG02811 GWD AFR 1 7 1
HG02814 HG02814 GWD AFR 1 8 1
HG02840 HG02840 GWD AFR 1 6 2
HG02870 HG02870 GWD AFR 1 2 1
HG02881 HG02881 GWD AFR 0 3 1
HG02970 HG02970 ESN AFR 1 2 2
HG02973 HG02973 ESN AFR 0 0 2
HG03009 HG03009 BEB SAS 0 5 2
HG03046 HG03046 GWD AFR 1 7 1
HG03074 HG03074 MSL AFR 0 5 1
HG03091 HG03091 MSL AFR 1 1 2
HG03105 HG03105 ESN AFR 1 4 2
HG03127 HG03127 ESN AFR 0 3 1
HG03193 HG03193 ESN AFR 0 2 1
HG03224 HG03224 MSL AFR 0 4 1
HG03237 HG03237 PJL SAS 0 6 2
HG03241 HG03241 GWD AFR 1 5 1
HG03247 HG03247 GWD AFR 1 4 1
HG03259 HG03259 GWD AFR 1 4 1
HG03267 HG03267 ESN AFR 1 1 2
HG03354 HG03354 ESN AFR 1 5 1
HG03366 HG03366 ESN AFR 1 5 2
HG03367 HG03367 ESN AFR 0 3 1
HG03380 HG03380 MSL AFR 1 1 1
HG03419 HG03419 MSL AFR 1 1 1
HG03449 HG03449 MSL AFR 1 4 2
HG03451 HG03451 MSL AFR 0 3 1
HG03458 HG03458 MSL AFR 1 2 2
HG03490 HG03490 PJL SAS 0 4 2
HG03491 HG03491 PJL SAS 1 2 2
HG03511 HG03511 ESN AFR 1 1 2
HG03556 HG03556 MSL AFR 0 3 2
HG03563 HG03563 MSL AFR 1 3 1
HG03598 HG03598 BEB SAS 1 4 2
HG03603 HG03603 BEB SAS 0 4 2
HG03607 HG03607 BEB SAS 1 5 2
HG03636 HG03636 PJL SAS 0 6 1
HG03684 HG03684 STU SAS 1 5 1
HG03686 HG03686 STU SAS 0 4 2
HG03690 HG03690 STU SAS 1 5 2
HG03731 HG03731 ITU SAS 1 0 1
HG03740 HG03740 STU SAS 0 4 1
HG03755 HG03755 STU SAS 0 5 1
HG03800 HG03800 BEB SAS 0 4 1
HG03815 HG03815 BEB SAS 0 3 1
HG03832 HG03832 BEB SAS 1 3 2
HG03850 HG03850 STU SAS 0 4 1
HG03873 HG03873 ITU SAS 1 4 2
HG03897 HG03897 STU SAS 1 3 2
HG03905 HG03905 BEB SAS 0 5 2
HG03937 HG03937 BEB SAS 1 6 2
HG03948 HG03948 STU SAS 1 5 2
HG03973 HG03973 ITU SAS 1 3 2
HG04054 HG04054 ITU SAS 1 5 2
HG04059 HG04059 ITU SAS 1 4 1
HG04063 HG04063 ITU SAS 1 4 1
HG04096 HG04096 ITU SAS 0 6 1
HG04099 HG04099 STU SAS 1 3 1
HG04140 HG04140 BEB SAS 0 5 2
HG04171 HG04171 BEB SAS 1 5 2
HG04209 HG04209 ITU SAS 1 4 1
HG04210 HG04210 STU SAS 0 5 1
HG04229 HG04229 STU SAS 0 3 2
HG04239 HG04239 ITU SAS 0 5 1
NA07347 NA07347 CEU EUR 0 4 1
NA11918 NA11918 CEU EUR 1 6 2
NA11919 NA11919 CEU EUR 0 5 1
NA12045 NA12045 CEU EUR 0 7 2
NA12273 NA12273 CEU EUR 1 5 2
NA12342 NA12342 CEU EUR 0 6 2
NA12414 NA12414 CEU EUR 1 6 1
NA12546 NA12546 CEU EUR 0 4 2
NA12760 NA12760 CEU EUR 0 4 2
NA12878 NA12878 CEU EUR 1 5 1
NA18516 NA18516 YRI AFR 0 3 2
NA18525 NA18525 CHB EAS 1 5 1
NA18534 NA18534 CHB EAS 0 6 1
NA18541 NA18541 CHB EAS 1 5 1
NA18557 NA18557 CHB EAS 0 4 1
NA18565 NA18565 CHB EAS 1 3 2
NA18616 NA18616 CHB EAS 1 8 2
NA18619 NA18619 CHB EAS 1 2 2
NA18623 NA18623 CHB EAS 0 4 2
NA18630 NA18630 CHB EAS 1 4 1
NA18631 NA18631 CHB EAS 1 6 1
NA18740 NA18740 CHB EAS 0 8 1
NA18853 NA18853 YRI AFR 0 4 1
NA18865 NA18865 YRI AFR 0 3 1
NA18873 NA18873 YRI AFR 1 4 1
NA18874 NA18874 YRI AFR 0 3 1
NA18916 NA18916 YRI AFR 1 2 1
NA18960 NA18960 JPT EAS 0 5 2
NA18966 NA18966 JPT EAS 0 6 2
NA18975 NA18975 JPT EAS 1 6 2
NA18976 NA18976 JPT EAS 1 4 2
NA18978 NA18978 JPT EAS 1 3 2
NA18990 NA18990 JPT EAS 0 5 1
NA19060 NA19060 JPT EAS 0 7 1
NA19063 NA19063 JPT EAS 0 4 2
NA19076 NA19076 JPT EAS 0 2 2
NA19086 NA19086 JPT EAS 0 5 1
NA19087 NA19087 JPT EAS 1 5 2
NA19096 NA19096 YRI AFR 0 6 2
NA19113 NA19113 YRI AFR 0 3 1
NA19118 NA19118 YRI AFR 1 2 1
NA19185 NA19185 YRI AFR 1 4 1
NA19209 NA19209 YRI AFR 1 4 2
NA19311 NA19311 LWK AFR 0 6 2
NA19314 NA19314 LWK AFR 1 5 1
NA19317 NA19317 LWK AFR 0 6 2
NA19321 NA19321 LWK AFR 1 5 1
NA19379 NA19379 LWK AFR 1 7 1
NA19384 NA19384 LWK AFR 0 2 2
NA19390 NA19390 LWK AFR 1 4 1
NA19397 NA19397 LWK AFR 0 2 1
NA19399 NA19399 LWK AFR 1 1 2
NA19404 NA19404 LWK AFR 1 5 1
NA19446 NA19446 LWK AFR 1 3 2
NA19448 NA19448 LWK AFR 0 5 2
NA19455 NA19455 LWK AFR 0 3 1
NA19456 NA19456 LWK AFR 1 5 1
NA19466 NA19466 LWK AFR 0 2 1
NA19655 NA19655 MXL AMR 0 4 1
NA19657 NA19657 MXL AMR 1 9 2
NA19670 NA19670 MXL AMR 0 6 2
NA19678 NA19678 MXL AMR 1 4 1
NA19679 NA19679 MXL AMR 0 3 1
NA19701 NA19701 ASW AFR 1 4 2
NA19720 NA19720 MXL AMR 0 4 2
NA19756 NA19756 MXL AMR 0 6 1
NA19761 NA19761 MXL AMR 1 6 1
NA19764 NA19764 MXL AMR 1 7 2
NA19786 NA19786 MXL AMR 0 6 1
NA20318 NA20318 ASW AFR 0 6 1
NA20351 NA20351 ASW AFR 0 3 2
NA20517 NA20517 TSI EUR 1 4 2
NA20518 NA20518 TSI EUR 0 3 2
NA20529 NA20529 TSI EUR 1 6 2
NA20587 NA20587 TSI EUR 1 6 1
NA20757 NA20757 TSI EUR 1 3 2
NA20798 NA20798 TSI EUR 0 4 2
NA20799 NA20799 TSI EUR 1 4 2
NA20800 NA20800 TSI EUR 1 2 1
NA20810 NA20810 TSI EUR 0 4 2
NA20826 NA20826 TSI EUR 1 6 1
NA20858 NA20858 GIH SAS 0 7 1
NA20864 NA20864 GIH SAS 0 4 2
NA20869 NA20869 GIH SAS 1 5 2
NA20877 NA20877 GIH SAS 1 4 2
NA20888 NA20888 GIH SAS 1 5 2
NA20910 NA20910 GIH SAS 1 5 2
NA21101 NA21101 GIH SAS 1 6 2
NA21113 NA21113 GIH SAS 0 4 2
NA21114 NA21114 GIH SAS 0 6 2
NA21116 NA21116 GIH SAS 0 4 1
NA21118 NA21118 GIH SAS 0 6 1
NA21133 NA21133 GIH SAS 0 5 2
NA21143 NA21143 GIH SAS 1 5 2
